EPA to Use Poor Kids as Guinea Pigs in Pesticide Study	http://usgovinfo.about.com/od/technologyandresearch/a/aboutepa.htm
Excerpts from a DC Airline Ticket Agent	http://urbanlegends.about.com/od/government/a/Excerpts-From-A-Dc-Airline-Ticket-Agent.htm
Ft. Calhoun Nuclear Plant Meltdown, News Blackout	http://urbanlegends.about.com/od/government/a/Fort-Calhoun-Nuclear-Plant-Meltdown.htm
George W. Bush 'Miss Me Yet?' Billboard	http://urbanlegends.about.com/od/georgewbush/ss/miss_me_yet_billboard.htm
G.W. Bush Accidentally Votes for Obama in 2012 Election	http://urbanlegends.about.com/od/barackobama/ss/Obama-s-Son-Makes-Rare-Appearance.htm
G.W. Bush, America's Soul-Saving President	http://uspolitics.about.com/od/Election-2016/fl/Is-Jeb-Bush-Running-for-President-in-2016.htm
G.W. Bush Dubbed 'Walking Eagle' by Native Americans	http://urbanlegends.about.com/library/bl_walking_eagle.htm
G.W. Bush's Favorite Bible Verse: John 16:3	http://urbanlegends.about.com/library/bl_gw_bush_john_3_16.htm
G.W. Bush Hugs Daughter of 9/11 Victim (Photo)	http://crime.about.com/od/current/p/ashleypond.htm
On G.W. Bush's IQ (or Lack Thereof)	http://urbanlegends.about.com/library/bliq-bush.htm
G.W. Bush Nigerian Scam Parody	http://uspolitics.about.com/od/wariniraq/i/iraq_overview.htm
G.W. Bush Quote: How 'Too Much Education' Affects Voting Preferences	http://americanhistory.about.com/od/georgewbush/a/ff_g_w_bush.htm
G.W. Bush Refers to Fetus as 'Feces'	http://urbanlegends.about.com/od/mittromney/ss/Romney-Of-Course-Ill-Win.htm
G.W. Bush Runs with Amputee Soldier (Photo)	http://uspolitics.about.com/od/Election-2016/tp/5-Important-Republicans-Who-Support-Jeb-Bush-for-President.htm
Gertrude M. Jones' Anti-Bush Obituary	http://paranormal.about.com/od/trueghoststories/fl/Weird-Coincidence-or-Ghostly-Message.htm
Gold Star Mothers vs. Hillary Clinton	http://usconservatives.about.com/od/2016elections/fl/2016-Democratic-Presidential-Power-Rankings.htm
Harvey Milk Day	http://urbanlegends.about.com/od/government/a/harvey_milk_day.htm
Health Care Real Estate Tax	http://urbanlegends.about.com/od/government/a/Health-Care-Real-Estate-Tax.htm
Hillary Clinton 'Marxist' Quotes	http://urbanlegends.about.com/od/government/a/clinton_quotes.htm
Hillary vs. Arnold	http://history1900s.about.com/od/people/a/ChurchillQuotes.htm
