'Mysterious Malaysia Plane Finally Found!' Video	http://urbanlegends.about.com/od/facebook/ss/Mysterious-Malaysia-Plane-Finally-Found-Video-Scam.htm	facebook
Photo Tagging 'Virus'	http://urbanlegends.about.com/od/fooddrink/ss/Pepsi-HIV-Blood.htm	facebook
'Malaysian Plane Crash Is FOUND!' Video	http://urbanlegends.about.com/od/facebook/ss/Malaysian-Plane-Crash-Is-Found-Scam.htm	facebook
'Scariest Snake Ever!' Video	http://urbanlegends.about.com/od/facebook/ss/Scariest-Snake-Ever-Video.htm	facebook
'Miley Cyrus Found Dead of Overdose' Video	http://urbanlegends.about.com/od/facebook/ss/Miley-Cyrus-Found-Dead.htm	facebook
'Robin Williams Says Goodbye' Video Scam	http://urbanlegends.about.com/od/facebook/fl/Robin-Williams-Says-Goodbye-Video.htm	facebook
Profile Hacker Warning	http://urbanlegends.about.com/od/facebook/ss/Facebook-Profile-Hackers.htm	facebook
'Shocking Accident on the Roller Coaster' Video	http://urbanlegends.about.com/od/facebook/ss/Shocking-Accident-on-the-Roller-Coaster-Video.htm	facebook
'Sylvester Stallone Died in Car Accident' Video	http://urbanlegends.about.com/od/facebook/ss/Sylvester-Stallone-Died-in-Car-Accident-Hoax.htm	facebook
'OMG She Ended Up in Emergency After Friends Did This' Video	http://urbanlegends.about.com/od/facebook/ss/OMG-She-Ended-Up-in-Emergency-After-Friends-Did-This-Video.htm	facebook
Spongebob Squarepants Cancelled	http://urbanlegends.about.com/od/facebook/ss/Spongebob-Cancelled.htm	facebook
Starbucks Gift Card Scam	http://urbanlegends.about.com/od/facebook/	facebook
'This Baby Has Cancer' Hoax	http://urbanlegends.about.com/od/facebook/ss/This-Baby-Has-Cancer-Hoax.htm	facebook
Top 5 Signs the Video You're About to Share Is a Scam	http://urbanlegends.about.com/od/facebook/tp/Top-5-Signs-the-Video-Youre-About-to-Share-Is-a-Scam.htm	facebook
'Shocking Accident on the Roller Coaster' Video	http://urbanlegends.about.com/od/facebook/ss/You-Wont-Believe-What-This-Pregnant-Girl-Does-Video.htm	facebook
Smartphone Pictures Pose Privacy Risks	http://urbanlegends.about.com/od/business/ss/Smartphone-Pictures-Pose-Privacy-Risks.htm	facebook
Tipsy Tow	http://urbanlegends.about.com/od/facebook/ss/Tipsy-Tow.htm	facebook
'Two Little Creatures Found in USA' Video Scam	http://urbanlegends.about.com/od/facebook/fl/Two-Little-Creatures-Found-in-USA.htm	facebook
Tim Hortons Gift Card Scam	http://urbanlegends.about.com/od/facebook/	facebook
'Tsunami Whale Video' Clickjacking Scam	http://urbanlegends.about.com/od/facebook/	facebook
'Unidentified Sea Monster' Video	http://urbanlegends.about.com/od/facebook/ss/Amazing-Video-Unidentified-Sea-Monster-Scam.htm	facebook
'Woman Fall Into Polar Bear Pit' Video	http://urbanlegends.about.com/od/facebook/ss/Woman-Falls-Into-Polar-Bear-Pit-Video.htm	facebook
'Worst Roller Coaster Accident' Video (Clickjacking Scam)	http://urbanlegends.about.com/od/facebook/ss/Worst-Roller-Coaster-Accident-in-Sydney-Australia.htm	facebook
'Teen Died Immediately After Friends Did This' Video	http://urbanlegends.about.com/od/facebook/ss/OMG-Teen-Died-Immediately-Video-Scam.htm	facebook
